Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),majmooe_emkanat,Area_per_Room,nesbat_otagh_be_area
63,1,1,1,1,Shahran,18500000000,6166667,3,6300000,15873015873015802e58
60,1,1,1,1,Shahran,18500000000,6166667,3,6000000,16666666666666602e58
79,2,1,1,1,Pardis,5500000000,1833333,3,3950000,253164556962025e44
95,2,1,1,1,Shahrake Qods,9025000000,3008333,3,4750000,21052631578947303e58
123,2,1,1,1,Shahrake Gharb,70000000000,23333333,3,6150000,16260162601626e55
70,2,1,1,0,North Program Organization,20500000000,6833333,2,3500000,285714285714285e44
87,2,1,1,1,Pardis,6000000000,200000,3,4350000,229885057471264e58
59,1,1,1,1,Shahran,21500000000,7166667,3,5900000,169491525423728e44
54,2,1,1,0,Andisheh,4930000000,1643333,2,2700000,37037037037037004e55
71,1,1,1,1,West Ferdows Boulevard,23700000000,790000,3,7100000,14084507042253501e60
68,2,1,1,1,West Ferdows Boulevard,24500000000,8166667,3,3400000,29411764705882303e58
64,1,1,1,1,Narmak,21000000000,700000,3,6400000,156250000
54,1,0,1,1,Narmak,16900000000,5633333,2,5400000,18518518518518503e58
136,3,1,1,1,Saadat Abad,110000000000,36666667,3,4533333333333334e62,220588235294117e58
95,2,1,1,1,Zafar,50000000000,16666667,3,4750000,21052631578947303e58
63,1,0,1,0,Islamshahr,5700000000,190000,1,6300000,15873015873015802e58
155,3,1,1,1,Narmak,67000000000,22333333,3,5166666666666666e61,193548387096774e44
64,2,0,1,0,Pirouzi,14500000000,4833333,1,3200000,31250000
140,3,1,1,1,West Ferdows Boulevard,64000000000,21333333,3,4666666666666666e61,214285714285714e44
42,1,0,1,0,Pirouzi,13900000000,4633333,1,4200000,238095238095238e58
93,2,1,1,1,Shahrake Gharb,70000000000,23333333,3,4650000,21505376344086e58
87,2,1,1,1,Shahrake Shahid Bagheri,25000000000,8333333,3,4350000,229885057471264e58
65,1,1,1,1,Shahran,18800000000,6266667,3,6500000,15384615384615302e60
99,2,1,1,1,Moniriyeh,22770000000,759000,3,4950000,20202020202020202e58
105,2,1,1,1,Saadat Abad,71500000000,23833333,3,5250000,19047619047618998e42
77,2,1,1,1,Amirieh,17710000000,5903333,3,3850000,259740259740259e58
123,2,1,1,1,Pirouzi,40590000000,1353000,3,6150000,16260162601626e55
110,2,1,1,1,Southern Janatabad,6300000000,210000,3,5500000,181818181818181e44
100,2,1,1,1,West Ferdows Boulevard,32000000000,10666667,3,5000000,20000
90,2,0,1,0,Salsabil,15000000000,500000,1,4500000,22222222222222203e58
49,1,1,1,1,West Ferdows Boulevard,22000000000,7333333,3,4900000,20408163265306102e44
96,2,1,1,1,Zargandeh,78720000000,2624000,3,4800000,208333333333333e58
67,2,1,1,0,Feiz Garden,23500000000,7833333,2,3350000,298507462686567e58
68,2,1,1,1,West Ferdows Boulevard,25000000000,8333333,3,3400000,29411764705882303e58
62,1,1,0,1,Water Organization,21500000000,7166667,2,6200000,161290322580645e60
55,1,1,1,1,West Ferdows Boulevard,21500000000,7166667,3,5500000,181818181818181e44
110,2,1,1,1,West Ferdows Boulevard,37500000000,1250000,3,5500000,181818181818181e44
129,2,1,1,1,West Ferdows Boulevard,52500000000,1750000,3,6450000,15503875968992201e58
109,2,1,1,1,West Ferdows Boulevard,48300000000,1610000,3,5450000,18348623853210997e42
58,1,1,1,1,Saadat Abad,34000000000,11333333,3,5800000,172413793103448e58
55,1,1,1,1,Saadat Abad,38500000000,12833333,3,5500000,181818181818181e44
150,2,0,1,1,Shahrake Qods,12000000000,400000,2,7500000,133333333333333e58
60,2,1,1,1,,26500000000,8833333,3,3000000,333333333333333e44
130,3,1,1,0,ShahrAra,50000000000,16666667,2,4333333333333334e62,23076923076923e55
88,2,1,1,1,Gisha,47500000000,15833333,3,4400000,22727272727272703e58
51,1,1,1,1,Gisha,29800000000,9933333,3,5100000,196078431372549e30
113,3,1,1,0,Shahrake Gharb,70000000000,23333333,2,3766666666666666e61,265486725663716e44
110,2,1,1,1,Ray,20350000000,6783333,3,5500000,181818181818181e44
60,1,1,1,1,Abbasabad,24600000000,820000,3,6000000,16666666666666602e58
98,2,1,1,1,Pardis,5400000000,180000,3,4900000,20408163265306102e44
62,2,0,0,1,Ostad Moein,14500000000,4833333,1,3100000,32258064516129e42
150,3,1,1,1,Farmanieh,100000000000,33333333,3,5000000,20000
75,2,0,0,0,Parand,6350000000,2116667,0,3750000,266666666666666e44
61,1,1,1,0,Punak,20300000000,6766667,2,6100000,163934426229508e44
61,1,1,1,0,Punak,20300000000,6766667,2,6100000,163934426229508e44
72,2,1,1,1,Shahran,23500000000,7833333,3,3600000,277777777777777e58
100,2,1,1,1,QasrodDasht,30000000000,1000000,3,5000000,20000
122,3,1,1,1,Aqdasieh,72000000000,2400000,3,4066666666666666e61,24590163934426202e44
215,3,1,1,1,Pakdasht,17500000000,5833333,3,7166666666666666e46,13953488372093e55
101,2,1,1,1,Railway,33000000000,1100000,3,5050000,19801980198019802e58
67,2,1,1,1,Punak,28000000000,9333333,3,3350000,298507462686567e58
72,2,1,1,0,Punak,22000000000,7333333,2,3600000,277777777777777e58
63,1,1,1,0,Punak,22000000000,7333333,2,6300000,15873015873015802e58
75,2,1,1,0,Punak,22000000000,7333333,2,3750000,266666666666666e44
109,2,1,1,1,Shahran,35000000000,11666667,3,5450000,18348623853210997e42
122,2,1,1,1,Aqdasieh,70000000000,23333333,3,6100000,163934426229508e44
70,1,1,1,1,Central Janatabad,31000000000,10333333,3,7000000,142857142857142e58
60,1,1,1,1,West Ferdows Boulevard,24500000000,8166667,3,6000000,16666666666666602e58
